aCRM;Convenience functions for analytical Customer Relationship Management
AcrossTic;A Cost-Minimal Regular Spanning Subgraph with TreeClust
acrt;Autocorrelation Robust Testing
acs;Download, Manipulate, and Present American Community Survey and Decennial Data from the US Census
ACSNMineR;Gene Enrichment Analysis from ACSN Maps or GMT Files
acss;Algorithmic Complexity for Short Strings
acss.data;Data Only: Algorithmic Complexity of Short Strings (Computed via Coding Theorem Method)
ACSWR;"A Companion Package for the Book ""A Course in Statistics with R"""
ACTCD;Asymptotic Classification Theory for Cognitive Diagnosis
ActFrag;Activity Fragmentation Metrics Extracted from Minute Level Activity Data
Actigraphy;Actigraphy Data Analysis
ActiveDriver;Finding Cancer Driver Proteins with Enriched Mutations in Post-Translational Modification Sites
ActiveDriverWGS;A Driver Discovery Tool for Cancer Whole Genomes
ActivePathways;Multivariate Pathway Enrichment Analysis
activity;Animal Activity Statistics
activityCounts;Generate ActiLife Counts
ActivityIndex;Activity Index Calculation using Raw Accelerometry Data
activPAL;Advanced Processing and Chart Generation from activPAL Events Files
activpalProcessing;Process activPAL Events Files
actogrammr;Read in Activity Data and Plot Actograms
actuar;Actuarial Functions and Heavy Tailed Distributions
AcuityView;A Package for Displaying Visual Scenes as They May Appear to an Animal with Lower Acuity
ada;The R Package Ada for Stochastic Boosting
adabag;Applies Multiclass AdaBoost.M1, SAMME and Bagging
adagio;Discrete and Global Optimization Routines
adamethods;Archetypoid Algorithms and Anomaly Detection
AdapEnetClass;A Class of Adaptive Elastic Net Methods for Censored Data
adapr;Implementation of an Accountable Data Analysis Process
AdapSamp;Adaptive Sampling Algorithms
adaptalint;Check Code Style Painlessly
AdaptFit;Adaptive Semiparametic Regression
AdaptFitOS;Adaptive Semiparametric Additive Regression with Simultaneous Confidence Bands and Specification Tests
AdaptGauss;Gaussian Mixture Models (GMM)
adaptiveGPCA;Adaptive Generalized PCA
AdaptiveSparsity;Adaptive Sparsity Models
adaptivetau;Tau-Leaping Stochastic Simulation
adaptMCMC;Implementation of a Generic Adaptive Monte Carlo Markov Chain Sampler
adaptMT;Adaptive P-Value Thresholding for Multiple Hypothesis Testing with Side Information
ADAPTS;Automated Deconvolution Augmentation of Profiles for Tissue Specific Cells
adaptsmoFMRI;Adaptive Smoothing of FMRI Data
adaptTest;Adaptive two-stage tests
AdaSampling;Adaptive Sampling for Positive Unlabeled and Label Noise Learning
ADCT;Adaptive Design in Clinical Trials
addhaz;Binomial and Multinomial Additive Hazard Models
addhazard;Fit Additive Hazards Models for Survival Analysis
addinslist;Discover and Install Useful RStudio Addins
addinsOutline;'RStudio' Addins for Show Outline of a R Markdown/'LaTeX' Project
additiveDEA;Additive Data Envelopment Analysis Models
additivityTests;Additivity Tests in the Two Way Anova with Single Sub-class Numbers
addreg;Additive Regression for Discrete Data
ADDT;Analysis of Accelerated Destructive Degradation Test Data
ade4;Analysis of Ecological Data: Exploratory and Euclidean Methods in Environmental Sciences
ade4TkGUI;'ade4' Tcl/Tk Graphical User Interface
adeba;Adaptive Density Estimation by Bayesian Averaging
adegenet;Exploratory Analysis of Genetic and Genomic Data
adegraphics;An S4 Lattice-Based Package for the Representation of Multivariate Data
adehabitatHR;Home Range Estimation
adehabitatHS;Analysis of Habitat Selection by Animals
adehabitatLT;Analysis of Animal Movements
adehabitatMA;Tools to Deal with Raster Maps
adephylo;Exploratory Analyses for the Phylogenetic Comparative Method
adepro;A 'shiny' Application for the (Audio-)Visualization of Adverse Event Profiles
adept;Adaptive Empirical Pattern Transformation
adeptdata;Accelerometry Data Sets
AdequacyModel;Adequacy of Probabilistic Models and General Purpose Optimization
adespatial;Multivariate Multiscale Spatial Analysis
adfExplorer;Import from and Export to Amiga Disk Files
ADGofTest;Anderson-Darling GoF test
AdhereR;Adherence to Medications
adhoc;Calculate Ad Hoc Distance Thresholds for DNA Barcoding Identification
adimpro;Adaptive Smoothing of Digital Images
adiv;Analysis of Diversity
AdjBQR;Adjusted Bayesian Quantile Regression Inference
adjclust;Adjacency-Constrained Clustering of a Block-Diagonal Similarity Matrix
adjustedcranlogs;Remove Automated and Repeated Downloads from 'RStudio' 'CRAN' Download Logs
adklakedata;Adirondack Long-Term Lake Data
adlift;An Adaptive Lifting Scheme Algorithm
admisc;Adrian Dusa's Miscellaneous
AdMit;Adaptive Mixture of Student-t Distributions
admixturegraph;Admixture Graph Manipulation and Fitting
ADMM;Algorithms using Alternating Direction Method of Multipliers
admmDensestSubmatrix;Alternating Direction Method of Multipliers to Solve Dense Dubmatrix Problem
ADMMnet;Regularized Model with Selecting the Number of Non-Zeros
ADMMsigma;Penalized Precision Matrix Estimation via ADMM
adnuts;No-U-Turn MCMC Sampling for 'ADMB' and 'TMB' Models
adoption;Modelling Adoption Process in Marketing
adoptr;Adaptive Optimal Two-Stage Designs in R
ADPclust;Fast Clustering Using Adaptive Density Peak Detection
ADPF;Use Least Squares Polynomial Regression and Statistical Testing to Improve Savitzky-Golay
adpss;Design and Analysis of Locally or Globally Efficient Adaptive Designs
ads;Spatial Point Patterns Analysis
AdvBinomApps;Upper Clopper-Pearson Confidence Limits for Burn-in Studies under Additional Available Information
advclust;Object Oriented Advanced Clustering
AdvDif4;Solving 1D Advection Bi-Flux Diffusion Equation
adwave;Wavelet Analysis of Genomic Data from Admixed Populations
adwordsR;Access the 'Google Adwords' API
AEDForecasting;Change Point Analysis in ARIMA Forecasting
aemo;Download and Process AEMO Price and Demand Data
AER;Applied Econometrics with R
AeRobiology;A Computational Tool for Aerobiological Data
AF;Model-Based Estimation of Confounder-Adjusted Attributable Fractions
afc;Generalized Discrimination Score
afCEC;Active Function Cross-Entropy Clustering
afex;Analysis of Factorial Experiments
affluenceIndex;Affluence Indices
AFheritability;The Attributable Fraction (AF) Described as a Function of Disease Heritability, Prevalence and Intervention Specific Factors
AFM;Atomic Force Microscope Image Analysis
afmToolkit;Functions for Atomic Force Microscope Force-Distance Curves Analysis
afpt;Tools for Modelling of Animal Flight Performance
aftgee;Accelerated Failure Time Model with Generalized Estimating Equations
AGD;Analysis of Growth Data
aGE;Adaptive Set-Based Gene-Environment Interaction Test for Rare Variants
AggregateR;Aggregate Numeric, Date and Categorical Variables by an ID
aggregation;p-Value Aggregation Methods
AGHmatrix;Relationship Matrices for Diploid and Autopolyploid Species
agop;Aggregation Operators and Preordered Sets
AGread;Read Data Files from ActiGraph Monitors
agRee;Various Methods for Measuring Agreement
AgreementInterval;Agreement Interval of Two Measurement Methods
agricolae;Statistical Procedures for Agricultural Research
agridat;Agricultural Datasets
agriTutorial;Tutorial Analysis of Some Agricultural Experiments
agriwater;Evapotranspiration and Energy Fluxes Spatial Analysis
agrmt;Calculate Agreement or Consensus in Ordered Rating Scales
agrostab;Stability Analysis for Agricultural Research
AGSDest;Estimation in Adaptive Group Sequential Trials
agsemisc;Miscellaneous plotting and utility functions
ahaz;Regularization for semiparametric additive hazards regression
AHM;Additive Heredity Model: Method for the Mixture-of-Mixtures Experiments
AHMbook;Functions and Data for the Book 'Applied Hierarchical Modeling in Ecology'
ahnr;An Implementation of the Artificial Hydrocarbon Networks
AhoCorasickTrie;Fast Searching for Multiple Keywords in Multiple Texts
ahp;Analytic Hierarchy Process
ahpsurvey;Analytic Hierarchy Process for Survey Data
AHR;Estimation and Testing of Average Hazard Ratios
AICcmodavg;Model Selection and Multimodel Inference Based on (Q)AIC(c)
AID;Box-Cox Power Transformation
aidar;Tools for Reading AIDA Files
AIG;Automatic Item Generator
AIM;AIM: adaptive index model
aimPlot;Create Pie Like Plot for Completeness
aimsir17;Irish Weather Observing Stations Hourly Records for 2017
aire.zmvm;Download Mexico City Pollution, Wind, and Temperature Data
airGR;Suite of GR Hydrological Models for Precipitation-Runoff Modelling
airGRteaching;Teaching Hydrological Modelling with the GR Rainfall-Runoff Models ('Shiny' Interface Included)
airportr;Convenience Tools for Working with Airport Data
airr;AIRR Data Representation Reference Library
aiRthermo;Atmospheric Thermodynamics and Visualization
ajv;Another JSON Schema Validator
Ake;Associated Kernel Estimations
akima;Interpolation of Irregularly and Regularly Spaced Data
akmeans;Adaptive Kmeans algorithm based on threshold
akmedoids;Anchored Kmedoids for Longitudinal Data Clustering
ALA4R;Atlas of Living Australia (ALA) Data and Resources in R
alabama;Constrained Nonlinear Optimization
alakazam;Immunoglobulin Clonal Lineage and Diversity Analysis
ALassoSurvIC;Adaptive Lasso for the Cox Regression with Interval Censored and Possibly Left Truncated Data
albopictus;Age-Structured Population Dynamics Model
ald;The Asymmetric Laplace Distribution
ALDqr;Quantile Regression Using Asymmetric Laplace Distribution
ALEPlot;Accumulated Local Effects (ALE) Plots and Partial Dependence (PD) Plots
aLFQ;Estimating Absolute Protein Quantities from Label-Free LC-MS/MS Proteomics Data
alfr;Connectivity to 'Alfresco' Content Management Repositories
alfred;Downloading Time Series from ALFRED Database for Various Vintages
algaeClassify;Determine Phytoplankton Functional Groups Based on Functional Traits
AlgDesign;Algorithmic Experimental Design
AlgebraicHaploPackage;Haplotype Two Snips Out of a Paired Group of Patients
algorithmia;Allows you to Easily Interact with the Algorithmia Platform
aliases2entrez;Converts Human gene symbols to entrez IDs
alignfigR;Visualizing Multiple Sequence Alignments with 'ggplot2'
alineR;Alignment of Phonetic Sequences Using the 'ALINE' Algorithm
allan;Automated Large Linear Analysis Node
allanvar;Allan Variance Analysis
alleHap;Allele Imputation and Haplotype Reconstruction from Pedigree Databases
allelematch;Identifying Unique Multilocus Genotypes where Genotyping Error and Missing Data may be Present
AlleleRetain;Allele Retention, Inbreeding, and Demography
allelic;A fast, unbiased and exact allelic exact test
AllPossibleSpellings;Computes all of a word's possible spellings
alluvial;Alluvial Diagrams
alpaca;Fit GLM's with High-Dimensional k-Way Fixed Effects
alphabetr;Algorithms for High-Throughput Sequencing of Antigen-Specific T Cells
alphahull;Generalization of the Convex Hull of a Sample of Points in the Plane
alphaOutlier;Obtain Alpha-Outlier Regions for Well-Known Probability Distributions
AlphaPart;Partition/Decomposition of Additive Genetic Values by Paths of Information
alphashape3d;Implementation of the 3D Alpha-Shape for the Reconstruction of 3D Sets from a Point Cloud
AlphaSimR;Breeding Program Simulations
alphastable;Inference for Stable Distribution
AlphaVantageClient;Wrapper for Alpha Vantage API
alphavantager;Lightweight R Interface to the Alpha Vantage API
alr3;Data to Accompany Applied Linear Regression 3rd Edition
alr4;Data to Accompany Applied Linear Regression 4th Edition
ALS;Multivariate Curve Resolution Alternating Least Squares (MCR-ALS)
ALSCPC;Accelerated line search algorithm for simultaneous orthogonal transformation of several positive definite symmetric matrices to nearly diagonal form
ALSM;Companion to Applied Linear Statistical Models
altair;Interface to 'Altair'
alterryx;An 'API' Client for the 'Alteryx' Gallery
altmeta;Alternative Meta-Analysis Methods
ALTopt;Optimal Experimental Designs for Accelerated Life Testing
altR2;Alternative Estimators to Adjusted R-Squared
amap;Another Multidimensional Analysis Package
AMAP.Seq;Compare Gene Expressions from 2-Treatment RNA-Seq Experiments
amber;Automated Model Benchmarking for the Canadian Land Surface Scheme
ambhasGW;Ground Water Modelling
ambient;A Generator of Multidimensional Noise
AMCP;A Model Comparison Perspective
AMCTestmakeR;Generate LaTeX Code for Auto-Multiple-Choice (AMC)
ameco;European Commission Annual Macro-Economic (AMECO) Database
Amelia;A Program for Missing Data
amelie;Anomaly Detection with Normal Probability Functions
amen;Additive and Multiplicative Effects Models for Networks and Relational Data
AmericanCallOpt;This package includes pricing function for selected American call options with underlying assets that generate payouts
amerika;American Politics-Inspired Color Palette Generator
AmesHousing;The Ames Iowa Housing Data
AMGET;Post-processing tool for ADAPT 5
AMIAS;Alternating Minimization Induced Active Set Algorithms
AmigaFFH;Commodore Amiga File Format Handler
aml;Adaptive Mixed LASSO
ammistability;Additive Main Effects and Multiplicative Interaction Model Stability Parameters
AMModels;Adaptive Management Model Manager
AmmoniaConcentration;Un-Ionized Ammonia Concentration
aMNLFA;Automated Fitting of Moderated Nonlinear Factor Analysis Through the 'Mplus' Program
AMOEBA;A Multidirectional Optimum Ecotope-Based Algorithm
AMORE;A MORE flexible neural network package
AmostraBrasil;Generates Samples or Complete List of Brazilian IBGE (Instituto Brasileiro De Geografia e Estatistica) Census Households, Geocoding it by Google Maps
ampd;An Algorithm for Automatic Peak Detection in Noisy Periodic and Quasi-Periodic Signals
ampir;Predict Antimicrobial Peptides
AMPLE;Common Code for the 'AMPED' and 'PIMPLE' 'shiny' Apps for Stakeholder Engagement and Harvest Strategies
AmpliconDuo;Statistical Analysis of Amplicon Data of the Same Sample to Identify Artefacts
AMR;Antimicrobial Resistance Analysis
amt;Animal Movement Tools
AmyloGram;Prediction of Amyloid Proteins
AnaCoDa;Analysis of Codon Data under Stationarity using a Bayesian Framework
anacor;Simple and Canonical Correspondence Analysis
analogsea;Interface to 'Digital Ocean'
analogue;Analogue and Weighted Averaging Methods for Palaeoecology
analogueExtra;Additional Functions for Use with the Analogue Package
analysisPipelines;Compose Interoperable Analysis Pipelines & Put Them in Production
analytics;Regression Outlier Detection, Stationary Bootstrap, Testing Weak Stationarity, NA Imputation, and Other Tools for Data Analysis
analyz;Model Layer for Automatic Data Analysis via CSV File Interpretation
AnalyzeFMRI;Functions for Analysis of fMRI Datasets Stored in the ANALYZE or NIFTI Format
AnalyzeTS;Analyze Fuzzy Time Series
anapuce;Tools for Microarray Data Analysis
AncestryMapper;Assigning Ancestry Based on Population References
anchoredDistr;Post-Processing for the Method of Anchored Distributions
anchors;Statistical analysis of surveys with anchoring vignettes
AnDE;An extended Bayesian Learning Technique developed by Dr. Geoff Webb
andrews;Andrews curves
anesrake;ANES Raking Implementation
anfis;Adaptive Neuro Fuzzy Inference System in R
AnglerCreelSurveySimulation;Simulate a Bus Route Creel Survey of Anglers
angstroms;Tools for 'ROMS' the Regional Ocean Modeling System
aniDom;Inferring Dominance Hierarchies and Estimating Uncertainty
anim.plots;Simple Animated Plots for R
AnimalHabitatNetwork;Networks Characterising the Physical Configurations of Animal Habitats
animalTrack;Animal track reconstruction for high frequency 2-dimensional (2D) or 3-dimensional (3D) movement data
animation;A Gallery of Animations in Statistics and Utilities to Create Animations
animint2;Animated Interactive Grammar of Graphics
anipaths;Animation of Observed Trajectories Using Spline-Based Interpolation
anMC;Compute High Dimensional Orthant Probabilities
ANN2;Artificial Neural Networks for Anomaly Detection
AnnotationBustR;Extract Subsequences from GenBank Annotations
AnnotLists;AnnotLists: A tool to annotate multiple lists from a specific annotation file
AnnuityRIR;Annuity Random Interest Rates
anocva;A Non-Parametric Statistical Test to Compare Clustering Structures
anoint;Analysis of Interactions
ANOM;Analysis of Means
anomalize;Tidy Anomaly Detection
anomaly;Detecting Anomalies in Data
anominate;Alpha-NOMINATE Ideal Point Estimator
ANOVA.TFNs;One-Way Analysis of Variance Based on Triangular Fuzzy Numbers
ANOVAIREVA;Interactive Document for Working with Analysis of Variance
ANOVAreplication;Test ANOVA Replications by Means of the Prior Predictive p-Value
ANOVAShiny;Interactive Document for Working with Analysis of Variance
AntAngioCOOL;Anti-Angiogenic Peptide Prediction
antaresEditObject;Edit an 'Antares' Simulation
antaresProcessing;'Antares' Results Processing
antaresRead;Import, Manipulate and Explore the Results of an 'Antares' Simulation
antaresViz;Antares Visualizations
anthro;Computation of the WHO Child Growth Standards
AnthropMMD;An R Package for Smith's Mean Measure of Divergence (MMD)
Anthropometry;Statistical Methods for Anthropometric Data
antitrust;Tools for Antitrust Practitioners
antiword;Extract Text from Microsoft Word Documents
AntMAN;Anthology of Mixture Analysis Tools
AntWeb;programmatic interface to the AntWeb
anyLib;Install and Load Any Package from CRAN, Bioconductor or Github
anytime;Anything to 'POSIXct' or 'Date' Converter
aod;Analysis of Overdispersed Data
aods3;Analysis of Overdispersed Data using S3 Methods
aoos;Another Object Orientation System
Aoptbdtvc;A-Optimal Block Designs for Comparing Test Treatments with Controls
aoristic;aoristic analysis with spatial output (kml)
apa;Format Outputs of Statistical Tests According to APA Guidelines
ApacheLogProcessor;Process the Apache Web Server Log Files
apaTables;Create American Psychological Association (APA) Style Tables
apaText;Create R Markdown Text for Results in the Style of the American Psychological Association (APA)
apc;Age-Period-Cohort Analysis
APCanalysis;Analysis of Unreplicated Orthogonal Experiments using All Possible Comparisons
apcf;Adapted Pair Correlation Function
apcluster;Affinity Propagation Clustering
apdesign;An Implementation of the Additive Polynomial Design Matrix
ape;Analyses of Phylogenetics and Evolution
apercu;Quick Look at your Data
apex;Phylogenetic Methods for Multiple Gene Data
apexcharter;Create Interactive Chart with the JavaScript 'ApexCharts' Library
APFr;Multiple Testing Approach using Average Power Function (APF) and Bayes FDR Robust Estimation
APfun;Geo-Processing Helper Functions
aphid;Analysis with Profile Hidden Markov Models
APIS;Auto-Adaptive Parentage Inference Software Tolerant to Missing Parents
aplore3;"Datasets from Hosmer, Lemeshow and Sturdivant, ""Applied Logistic Regression"" (3rd Ed., 2013)"
aplpack;Another Plot Package: 'Bagplots', 'Iconplots', 'Summaryplots', Slider Functions and Others
APML0;Augmented and Penalized Minimization Method L0
apmsWAPP;Pre- and Postprocessing for AP-MS data analysis based on spectral counts
apng;Convert Png Files into Animated Png
apollo;Tools for Choice Model Estimation and Application
apparent;Accurate Parentage Analysis in the Absence of Guiding Information
APPEstimation;Adjusted Prediction Model Performance Estimation
apple;Approximate Path for Penalized Likelihood Estimators
AppliedPredictiveModeling;Functions and Data Sets for 'Applied Predictive Modeling'
appnn;Amyloid Propensity Prediction Neural Network
approximator;Bayesian Prediction of Complex Computer Codes
approxmatch;Approximately Optimal Fine Balance Matching with Multiple Groups
aprean3;"Datasets from Draper and Smith ""Applied Regression Analysis"" (3rd Ed., 1998)"
apricom;Tools for the a Priori Comparison of Regression Modelling Strategies
aprof;Amdahl's Profiler, Directed Optimization Made Easy
APSIM;General Utility Functions for the 'Agricultural Production Systems Simulator'
APSIMBatch;Analysis the output of Apsim software
apsimr;Edit, Run and Evaluate APSIM Simulations Easily Using R
apsrtable;apsrtable model-output formatter for social science
apt;Asymmetric Price Transmission
aptg;Automatic Phylogenetic Tree Generator
APtools;Average Positive Predictive Values (AP) for Binary Outcomes and Censored Event Times
apTreeshape;Analyses of Phylogenetic Treeshape
aqfig;Functions to help display air quality model output and monitoring data
aqp;Algorithms for Quantitative Pedology
aqr;Interface methods to use with an ActiveQuant Master Server
AquaEnv;Integrated Development Toolbox for Aquatic Chemical Model Generation
AR;Another Look at the Acceptance-Rejection Method
ar.matrix;Simulate Auto Regressive Data from Precision Matricies
AR1seg;Segmentation of an autoregressive Gaussian process of order 1
arabicStemR;Arabic Stemmer for Text Analysis
ArArRedux;Rigorous Data Reduction and Error Propagation of Ar40 / Ar39 Data
arc;Association Rule Classification
ARCensReg;Fitting Univariate Censored Linear Regression Model with Autoregressive Errors
ArchaeoChron;Bayesian Modeling of Archaeological Chronologies
ArchaeoPhases;Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'
archdata;Example Datasets from Archaeological Research
archetypal;Finds the Archetypal Analysis of a Data Frame
archetypes;Archetypal Analysis
archiDART;Plant Root System Architecture Analysis Using DART and RSML Files
archivist;Tools for Storing, Restoring and Searching for R Objects
archivist.github;Tools for Archiving, Managing and Sharing R Objects via GitHub
ArCo;Artificial Counterfactual Package
arcos;Load ARCOS Prescription Data Prepared by the Washington Post
ArDec;Time series autoregressive-based decomposition
areal;Areal Weighted Interpolation
areaplot;Plot Stacked Areas and Confidence Bands as Filled Polygons
arena2r;Plots, Summary Statistics and Tools for Arena Simulation Users
arf3DS4;Activated Region Fitting, fMRI data analysis (3D)
arfima;Fractional ARIMA (and Other Long Memory) Time Series Modeling
ArfimaMLM;Arfima-MLM Estimation For Repeated Cross-Sectional Data
argo;Accurate Estimation of Influenza Epidemics using Google Search Data
argon2;Secure Password Hashing
argonDash;Argon Shiny Dashboard Template
argonR;R Interface to Argon HTML Design
argosfilter;Argos locations filter
argparse;Command Line Optional and Positional Argument Parser
argparser;Command-Line Argument Parser
ArgumentCheck;Improved Communication to Users with Respect to Problems in Function Arguments
ARHT;Adaptable Regularized Hotelling's T^2 Test for High-Dimensional Data
ari;Automated R Instructor
ARIbrain;All-Resolution Inference
aricode;Efficient Computations of Standard Clustering Comparison Measures
arkdb;Archive and Unarchive Databases Using Flat Files
arm;Data Analysis Using Regression and Multilevel/Hierarchical Models
armada;A Statistical Methodology to Select Covariates in High-Dimensional Data under Dependence
armspp;Adaptive Rejection Metropolis Sampling (ARMS) via 'Rcpp'
arnie;"""Arnie"" box office records 1982-2014"
AROC;Covariate-Adjusted Receiver Operating Characteristic Curve Inference
aroma.affymetrix;Analysis of Large Affymetrix Microarray Data Sets
aroma.apd;A Probe-Level Data File Format Used by 'aroma.affymetrix' [deprecated]
aroma.cn;Copy-Number Analysis of Large Microarray Data Sets
aroma.core;Core Methods and Classes Used by 'aroma.*' Packages Part of the Aroma Framework
Arothron;Geometric Morphometrics Analysis and Virtual Anthropology
ARpLMEC;Fitting Autoregressive Censored Linear Mixed-Effects Models
ARPobservation;Tools for Simulating Direct Behavioral Observation Recording Procedures Based on Alternating Renewal Processes
arpr;Advanced R Pipes
aRpsDCA;Arps Decline Curve Analysis in R
arrangements;Fast Generators and Iterators for Permutations, Combinations and Partitions
arrApply;Apply a Function to a Margin of an Array
ArrayBin;Binarization of numeric data arrays
arrayhelpers;Convenience Functions for Arrays
arrow;Integration to 'Apache' 'Arrow'
ars;Adaptive Rejection Sampling
arse;Area of Resilience to Stress Event
arsenal;An Arsenal of 'R' Functions for Large-Scale Statistical Summaries
ART;Aligned Rank Transform for Nonparametric Factorial Analysis
artfima;ARTFIMA Model Estimation
ARTIVA;Time-Varying DBN Inference with the ARTIVA (Auto Regressive TIme VArying) Model
ARTool;Aligned Rank Transform
ARTP;Gene and Pathway p-Values Computed using the Adaptive Rank Truncated Product
ARTP2;Pathway and Gene-Level Association Test
arules;Mining Association Rules and Frequent Itemsets
arulesCBA;Classification Based on Association Rules
arulesNBMiner;Mining NB-Frequent Itemsets and NB-Precise Rules
arulesSequences;Mining Frequent Sequences
arulesViz;Visualizing Association Rules and Frequent Itemsets
aRxiv;Interface to the arXiv API
asaur;"Data Sets for ""Applied Survival Analysis Using R"""""
asbio;A Collection of Statistical Tools for Biologists
asciiruler;Render an ASCII Ruler
asciiSetupReader;Reads Fixed-Width ASCII Data Files (.txt or .dat) that Have Accompanying Setup Files (.sps or .sas)
asd;Simulations for Adaptive Seamless Designs
asdreader;Reading ASD Binary Files in R
ASGS.foyer;Interface to the Australian Statistical Geography Standard
ash;David Scott's ASH Routines
ashr;Methods for Adaptive Shrinkage, using Empirical Bayes
asht;Applied Statistical Hypothesis Tests
AsioHeaders;'Asio' C++ Header Files
ASIP;Automated Satellite Image Processing
askpass;Safe Password Entry for R, Git, and SSH
aslib;Interface to the Algorithm Selection Benchmark Library
ASMap;Linkage Map Construction using the MSTmap Algorithm
asnipe;Animal Social Network Inference and Permutations for Ecologists
aspace;A collection of functions for estimating centrographic statistics and computational geometries for spatial point patterns
ASPBay;Bayesian Inference on Causal Genetic Variants using Affected Sib-Pairs Data
aSPC;An Adaptive Sum of Powered Correlation Test (aSPC) for Global Association Between Two Random Vectors
aspect;A General Framework for Multivariate Analysis with Optimal Scaling
aspi;Analysis of Symmetry of Parasitic Infections
aSPU;Adaptive Sum of Powered Score Test
asremlPlus;Augments 'ASReml-R' in Fitting Mixed Models and Packages Generally in Exploring Prediction Differences
ASSA;Applied Singular Spectrum Analysis (ASSA)
AssayCorrector;Detection and Correction of Spatial Bias in HTS Screens
assertable;Verbose Assertions for Tabular Data (Data.frames and Data.tables)
assertive;Readable Check Functions to Ensure Code Integrity
assertive.base;A Lightweight Core of the 'assertive' Package
assertive.code;Assertions to Check Properties of Code
assertive.data;Assertions to Check Properties of Data
assertive.data.uk;Assertions to Check Properties of Strings
assertive.data.us;Assertions to Check Properties of Strings
assertive.datetimes;Assertions to Check Properties of Dates and Times
assertive.files;Assertions to Check Properties of Files
assertive.matrices;Assertions to Check Properties of Matrices
assertive.models;Assertions to Check Properties of Models
assertive.numbers;Assertions to Check Properties of Numbers
assertive.properties;Assertions to Check Properties of Variables
assertive.reflection;Assertions for Checking the State of R
assertive.sets;Assertions to Check Properties of Sets
assertive.strings;Assertions to Check Properties of Strings
assertive.types;Assertions to Check Types of Variables
assertr;Assertive Programming for R Analysis Pipelines
assertthat;Easy Pre and Post Assertions
AssetCorr;Estimating Asset Correlations from Default Data
AssetPricing;Optimal Pricing of Assets with Fixed Expiry Date
assignPOP;Population Assignment using Genetic, Non-Genetic or Integrated Data in a Machine Learning Framework
assignR;Infer Geographic Origin from Isotopic Data
